Nama Akun,Ulasan
Ajeng,"ternyata warnanya jadi agak pinkish di bibir aku. formulanya enak bgt si, sangat pigmented. packing super aman."
Lianne,bagus tp warna kurang cocok nih
I***o,"Sumpah paling Puas cuma Make Over Product, yg lain hrg lbh mahal, dipakai krg enak"
M***a,"Great as always! Ini second purchase, sebelumnya beli shade kiss. Kali ini coba shade lain dan nude hasilnya, cocok banget ❤️"
Gemilang,"warna bagus, terang"
T***a,"Cepat sampai. Barang sesuai, terimakasih"
J***a,mantab..terima kasih
I***u,I***u
mawar,"kemasan seolah d lakban ulang, berantakan lakbannya. meski barangnya masih utuh, tp gak ngerti apa maksud dr ini semua. untuk barangnya ini lebih berminyak dari varian lainnya."
P***i,"sudah diterima dgn baik, terimakasih."
mawar,love MAKE OVER. Teksturenya enak pakai. ini Aq pakenya Tipys banget. kaya org2 di drakor gitu
Bogie,"Barang sesuai ekspetasi, respon penjual bagus, ekspedisi biasa saja sesuai ekspetasi, kondisi barang aman sampai tujuan, recomended lah buat penjual ini, bisa buat langganan kedepannya, biarkan bintang yang berbicara."
Annisa,mantull..warnanya bagus. smg awet ya 😊
w***i,"paketnya dikemas dgn aman,terima kasih"
L***a,suka sm warna2 nya
Katerina,"Bagus, langsung menutup warna asli bibir. Mudah dihapus. Walau warnanya ternyata terlalu ngejreng"
tata,"sempet kecewa karna pesanan ngga dikirim kirim sampai dibatalkan sistem 😤 akhirnya order ulang dan di hari ke tiga baru dikirim, padahal sebelumnya order bedak ngga selama ini. maybe orderan lagi ramai tapi entah kenapa kesal aja gitu. cuma karna pengen cobain produk ini ya udahlah disabar sabarin akhirnya, dan salutnya di MO biarpun orderannya 1 biji juga packingnya cantik punya, ini nilai plus plus yang bikin orang kesal jadi reda emosinya. semoga kedepannya diperbaiki"
Vonne,warnanya sesuai
nd,"warna cantik, tekstur dan kualitas produk ok....."
J***i,udah diterima dengan baik. pengemasan bagus. thanks seller 😊
L***a,warna nya cantik
UTAMI,Bahannya ringan .warnanya cocok ... bagusss dehhhhh ...
M***a,baguss wrnya..
Raihana,"nyoba & ketagihan dong beli lipstick seri hypnose. emang beneran creamy. baru kali ini jg nyoba lipstick dgn shade ini. di aku jatohnya lbh ke oranye. klo dipake terus lbh dr 5 jam ke bibir jd kering tp aku sih ga masalah karena bbrpa jam jg dipake makan, minum, dll ya psti reapply. ga suka lipstick yg awet lama bgt gt karena suka bikin bibir item. tutupnya magnetic jd ga ribet buat tutupnya. thanks make over"
Amelia,gak bikin kering bibir. Top!
rika,Oke 👍
Budhis,"Warna bagus, seller ramah dan responsif"
R***l,"kurang tahan lama , cpt ilang jd hrs touch up ulang"
M***e,"Barangnya sih bagus tapi pengiriman super lama bikin emosi. Beli tanggal 29 Juli baru dikirim 5 Agustus - 8 hari! Itu pun udah lewat complain beberapa channel (chat Toped, diskusi Toped, Website, tanya ordal, eMail CS sampai mempan di Chat CS Paragon, baru akhirnya dikirim). Luar biasa sih pengalaman kali ini."
heni,"Produk Ok sesuai deskripsi, terima kasih.."
H***i,warna oke banget. love it
Tia,"ggiiilleee ni lipstick,bener² keren ,warna ok,ke bibir lembut, ngga bikin kering dan tempatnya iituuu wooiwww amazing banget,ada magnitnya.top markotop ni ..dikemas super aman,selller rammahhh.tq ya tokped.Gbu"
Nine,"Produk diterima dgn baik tanpa cacat, packing dan pengiriman oke. Terima kasih, sukses selalu"
N***a,sekali poles warnanya lgsg nempel. mantull
xdefsoulx,"ga nyangka kalo selembut itu di bibir... bener kata review salah satu youtuber bahwa ga perlu pakai base/lip balm lagi di bibir karna emang lembut 😍 Allure warnanya lebih jreng ya dibanding Soiree, kalo yg kulitnya cerah banget (kulitku warna kuning langsat) dan yg bibirnya murni ke pink-pink-an harusnya lebih cocok sama warna ini. Scandal juga lebih merah dibanding Swift and idk, maybe I suits with red much than pink bikos Scandal memberi kesan so lady boss, independent, banyak duit vibes. ini review jujur karena aku juga nanya temenku. karna beli 5 macam, jadi inilah akhir dari review 5 hari :3"
D***h,Dikasih free
N***a,difotonya keliatan warna lebih ke pink ternyata aslinya lebih ke orange jd saya kasih ke ibu saya karena kurang suka sama warnanya. harusnya bisa kasih foto produk yg lebih real ya.
een,cantik warnanya.... udah lama pengen coba... ternyata pas di bibir saya creamy
bunga,"Bagus banget nih lipstick. Warnanya cakep, awet, tahan lama, ga langsung ilang walaupun abis makan, hasilnya agak matte tapi ga kering dan ga bikin bibir kering. Cuma sayang masih transfer. Overall oke, pengiriman pun cepet"
B***a,"Proses pengiriman sat set. Keamanan pesanan mantap, di bubble wrap tebal & diberi kardus gede. Warna cocok. Tdk bikin kering. Akan koleksi warna yg lain."
R***n,Produk halal dan berkualitas
Nareta,"Diterima dalam keadaan baik, sesuai dengan deskripsi"
Joyce,lisptik keren dan kekinian. tp warna blm dicoba sih
S***i,suka warnanya
C***e,"paket sudah terima, sesuai pesanan, sukaa deh"
N***g,"bahan nya ringan, oke banget di aplikasi kan ke bibir"
D***a,suka warnanya 🥰
P***a,"Pengiriman cepet, respon seller cepet banget, packing aman. Always dapet bonus kalo di make over. Happy banget. Thank’s seller, sukaes terus"
T***i,"Sudah sampai sesuai pesanan, warna lipstik cantik , bahannya ringan....Alhamdulillah cocok"
M***a,"udah beli yg warna kiss sama temptation tapii belum puas karena menurutku masih agak terang warnanya, sedangkan aku suka yg warna natural buat bibirku yg gelap ini daaann ternyata cocok banget setiap aku pakai warna undercover banyak yg muji cantik ..yeaaa senangnya dapat warna yg pas."
resdun,pelayanan ok pengiriman juga cepat
Evita,Bagus sis thanks
Ipan,"tekstur lembut, kualitas ok, tahan lamanya mungkin harus ditingkatkan, warnanya bukin scandal, cocok"
E***a,bagus bangettt
Rachma,kirain warnanya maroon ternyata ungu
Ika,Cocok buat sehari2.. warnanya pas dan glowing.. okkkk
M***a,"suka sama lipstik ini tapi saya cocok warna yg temptation, coverage nya ok dan awet, ga bikin bibir kering"
Ayin,👍👍👍👍👍
Lilis,biasa2 aja
Salmah,warnanya bagud
Desy,bagus warna nya
a***s,"teksturnya lembut bgt, enak bgt di olesnya dibibir. warnanya cantik, packagingnya best bgt.. untuk ketahanan lipstik dibuat makan nasi opor ayam.. hilang sih lipstiknya, tapi masih meninggalkan warna di bibir. ga masalah itu sih, tinggal dihapus pke tissu trus touch up lagi sempurna ga crack.. bagus deh pokonya.. lipstik ringan juga di bibir.dan pigmented bgt, sekali oles bisa full coverage bibir. next beli warna yg lain. ekspedisinya aja sih yg lama."
Indah,Indah
Devi,Warnanya cantik.. bibirnya jadi terlihat mulus 😃
a***i,"Bahannya ringan, warnanya bagus, cuma kurang cocok di bibir aja"
Putri,suka banget sama hasilnya mate tapi gak bikin kering cuma warnanya lebih terang dari yang di foto
Bagus,bagus bgt
Ema,pigmented dan lembut di bibir
Yuliana,sesuai pesenan
S***l,Ada bonusnya di kasih kuas blush on
L***i,"Si pinky yg ada lil bit hint orange pas oles di bibir. Dikitt tapi. Suka sama hasil pinknya, segar di wajah."
Mayasari,bahannya ringan dan warnanya bagus
H***l,produk dalam kondisi baik
Yoffi,"warna bagus... wlpn dipake utk makan, warnanya msh stay di bibir wlpn agak memudar, malahan digelas meninggalkan bekas tipis². tp ga apa² yg penting bibir msh terlihat cantik dgn warnanya"
M***a,"suka bangeett.... pigmented, lembut, ga bikin kering, warnanya cantik, packaging paling keren dan mewah, exp masih lama, aku mau koleksi semua warnanya 😍"
M***r,Make over sedari dulu memang sudah bagus.
Asturiah,terimakasih udah sampai..
T***i,T***i
h***i,warna sedikit beda dgn pict nya.
N***y,barang nya bagus. warnanya cantik. bibir ringan dan indah
Dian,Baru pertama nyobain ternyata lipstik nyaman bgt d bibir. Pigmentasi nya juara banget. Matte satin gt di bibirnya. Ga bikin bibir kering. Enak banget dipake nya bibir cantik dan lembab pastinya
N***y,barang nya bagus. lembut di bibir. terasa ringan dan halus
tika,sesuai pesanan siiipppp
r***i,👍👍
dessyca,"sesuai, pakainya ga bikin kering kulit bibir. thanks buat hadiahnya"
K***e,"cakep, cantik warnanya, nyaman dipakai, sesuai ekskpektasi"
Namiera,Warnanya kok beda sama yg di swatch kebanyakan ya hmmmmm..
Tri,makasih seller..dah dikasih bonus LG
Anggi,bagus tapi gampang patah huhuhu. apa aku pake tenaga kuda ya wkwkwk sedih
user,O3. Allure.. WARNA PINK NATURAL.. KEREN.. COCOK.. SM SELERA KU.. INI BERKAT ARAHAN DE BEAUTY KONSULTAN.. TQ U.. GBU..
m***m,m***m
I***s,"Sekali poles, warna bibir merata, kemasan mewah ada magnetnya aman isinya, warna cantiik, Matt, luv banget, makasih yaa"
T***a,T***a
Nada,"warna cantik bisa dipakai sehari2 karena natural bgt, packaging rapi tp pengirimannya agak lama but its okay."
Theresia,"packagingnya bagus, dan lipstiknya jg bagus warna dan ketahanannya."
susy,"keren banget pengirimannya, kemaren beli sekarang sampai dan dikemas rapi, savety bgt. makasih puas bgt deh krn produknya udah beli yg ke 3x ini dan lg nunggu jg buat anak lewat toped dia krn lisptiknya lembut gak lengket, sekali olesan warnanya nyata, pun berulang2 tetep kyk gitu jd cukup sekali aja biar hemat pemakaian."
claudia,"Tekstur nya mudah diaplikasikan ke bibir, ga bikin kering, no transfer Kualitas bagus ga mengecewakan."
dobi,packingnua bukan maen.mantab betul.. joss
HENCE,HENCE
Y***a,bagus warnanya. mau beli shade lainnya
Yuliana,sesuai pesenan
A***i,bagus warnanya khususnya buat sawo matang
Bekti,barang sampe dngn aman 👍
Luluk,keceeee bet
f***e,lipstikx ORI . Bagus . sesuai deskripsi.. makasiiiih yaa..
N***a,Cantix dua2 nya respon seller jg ramah thx u
Y***a,"bahan ringan warna cocok di sy, packing sangat sangat elegant dan aman.. pkonya top sy kynya mau beli lgi deh .. thanks seller sukses selalu laris manis tanjung kimpul.."
P***a,Pas n cocok warnanya 👍ringan dipakainya 👍 suka 😍 mau order warna lainnya nanti hbs lebaran👌
Rahayu,baguuussss
Y***i,saya suka warna2nya. bahan dan warnanya lembut.
S***k,"warnanya cantik banget.aq cb aplikasi di tangan,trs aq hapus pake tissu g gampang ilang.aromanya jg wangi,ringan d pake d bibir.syukaaa😘"
Mimi,suka sekali...bahan nya ringan cocok di kulit dan bibir.... pengiriman aman dan cepat...thanks
I***a,kaget sekali diusap langsung keluar warnanya cakep bgt. Muka jadi auto cerah pakai warna ini. Dan pudarnya pun masih menyisakan warna di bibir. bukan yang bener2 lenyap ditelan kalbu 😄 mau beli warna lain ah 🤭
Ita,"tidak di ragukan lagi make over selalu terbaik. pengiriman cepat, konsultasi dengan admin sangat baik, dan makasih di kasih gift make over TWC Sponge. bakal beli lagi disini. thank u make over"
R***o,"spt biasa produknya memuaskan, cpt smp jg.trmaksh"
T***9,"kualitas nya bagus tekstur nya Juga Okee Terima kasih ,sdh kasih yg terbaik buat Aku Suka dgnCOLOR nya"
ricky,saya beli ini sebagai hadiah. dan dia suka.
Fatmae,"Suka sma warnanya, ngk gmpng luntur, alhamdulillah dapt harga promo😍"
Suliyati,mantaap warnanya sesuai dan keten
D***a,paas banget warnanya langsung nyatu dan ringan di bibir.. thanks seller
Iin,"bagus banget warnanya sesuai ,warnanya kalem, packingmya juga aman banget, dari tokonya pas beli diproses langsung kirim,tapi sayank kalau umtuk pengiriman pakai Anter Aja lama banget sampainya,udah 2× beli tapi sampainya lama"
Y***e,"Keren, sdh beli beberapa warna. Murah, ndak kering di bibir. Ya boleh lah, buat koleksi warna. 👌"
emmy,"bagus, cocok"
NENDEN,sesuai dg penjelasan barang. cantik kemasannya. . packing aman
Riani,bagusss
s***i,tks make over...
Erwin,"pengiriman cepat, gratis ongkir"
f***a,"Pengiriman cepat, aman, rapi, kardus dan pengemasan cantik... Isi belum dicoba. Tapi warna udah cocok dengan undertone wajah. Nggak sabar coba. Terima kasih!"
Fitriyana,"warnanya baguuss dan ringan di bibirnya, suka 🥰"
M***i,"bagus warnanya dan ringan dibibir, Terima kasih seller"
w***z,"warna ok, gak bikin kering bibir, lipstik juga ada magnet nya jadi gak akan rusak krn sering terbuka tutupnya"
J***e,"warnanya bagus ,tempatnya juga keren, packingnya memuaskan. mantap"
A***a,"bagus tekstur lembut,nempel di bibir👍👍"
M***a,"suka sekali, thank you seller"
Ayu,"Packing super aman, barang sesuai request expired panjaaang. Terimakasih"
M***y,Kemana aja ya baru nyobain 😀. Tekstur nya enak bgt creamy tapi ngga berminyak. Warnanya cantik 😍
D***i,Udh berlangganan pake make over. Barang selalu sampai dengan aman krna packingnya pakai kardus terus di dalemnya produknya dibungkus buble wrap tebel walaupun barangnya cuma 1 item. Pengiriman jg cepat 😻
C***a,Bagus bgt!!
Rangga,melembabkan tp harus sering touch up tiap habis makan besar. tp kalo ngemil aman
Jenny,"produk ok, packing rapi, pengiriman tepat waktu"
Ika,warna nya beneran soft
NC,"Suka banget sama produk lipmatte ini karena simple tapi kemasannya mewah, lipsticknya juga enak dipakai sehari2"
Melinda,"lipstick nya lembut creamy, warna nya pink mix orange. pengiriman jg cepat..thx seller"
Marisa,"packing aman bgt,"
R***A,"Warnanya cakep, apa lagi buat yang berkulit cerah. Desain kemasan elit, ada magnetnya untuk menghindari keselip saat nutup. 👍🏽👍🏽👍🏽"
R***a,warnanya oke
R***i,beli yang ke-2 kali nya dengan warna yang sama karna se cocok itu. love it!
P***i,kering di bibir
henny,"Warna kurang cocok, terlalu merah. Kurang berminyak. Agak kering. Memang kendala beli online. Harga murah. Respon penjual cepat. Pengiriman cepat. Packing aman."
T***s,"tahan lama, lembab tidak kering, warna juga bagus, utk cek warna disarankan lihat2 foto ulasan"
Nia,baguuuus bangeet😍😍
Niken,"Warnanya bagus, sesuai pesanan, exp date masih lama, packing rapi dan aman, respon dan pengiriman cepat, terima kasih"
e***i,Terimakasih barang sudah diterima.
R***i,Bagus
besty,Abis makan langsung berkurang 50% warna lipstik nya.
A***i,"Produk dipacking dengan baik oleh official store. Tetapi pas sampe rumah entah gemana ceritanya segel produknya bisa sobek seperti sudah dibuka dan dilihat isi paketnya, sepertinya dari pihak ekspedisinya."
Chotibah,"lipstik nya sudah sampe rumah, pengiriman nya cepat banget 👍, Alhamdulillah barang utuh, tidak rusak, packing nya sangat aman dan rapi. warna juga benar sesuai order.next bs order lagi di sini. Thanks Make Over dan Tokped."
Maria,"Tekstur enak, creamy tapi ga lengket sama sekali. Warna bagus bangettt. Ga terlalu pigmented jadi jatuhnya cocok natural gitu 🥰❤️❤️"
Z***y,pesan tanggal 2 datangnya 2 minggu..parah abis..barang sih ok..tapi pengirimannya parah separah-parahnya.
R***u,bagusss jadi pengen beli lagi😭
Rosiah,lipstiknya bagus ..
