Nama Akun,Ulasan
H***i,"Tebal kali 1 swipe pun, makan mie goreng smudge sedikit not completely off but it cracked a bit"
J***a,cakep bangeeettt
Maya,the best pokoknya..... mau LG warna lain 😊👍👍👍👍
kinanti,Lumayan bgt dapet bedakkk🫰🏻
Ayudianti,"Sukakkk bgt, Ringan dan awet.. Shade DNA di bibir jadinya nude 🥰"
e***k,e***k
Esti,"nggak ngira dapat Harga diskon. suka banget sama warnanya. nude pink. Aman buat kulit gelap. warna ini dan vixen, sering kehabisan. cakep dan laris."
m***a,cakkeeeppppp sesuai dengan yg diorder sukakkk
Mella,"ahhh juara banget tekstur nya, nyaman di bibir, gak lengket, super ringan. btw D02 baguusss banget warnanya"
Maya,"Bagus, ga bikin kering"
S***a,"di aku ga glazed bgt kyk iklannya, msh kyk matte, dan 02 ga sepink iklannya , di aku msh merah tua"
Qaulina,packing barangnya lama
Primasari,packagingnya kece banget. semoga pas dicobain juga kece.
E***y,"Warnanya sukak banget, natural. Tahan lama. Makasih Make Over😍"
Ika,suka banget
Ch,semoga cocok ya kak bari mau coba kemasan okey
A***i,"jujur kurang suka dengan teksturnya, lengket2 gitu di bibir, mungkin maksudnya utk melembabkan bibir ya tapi aneh rasanya, masa ngatup2 bibir jadi lengket2 gitu feelnya tuh bikin gak ngerasa nyaman dan ada yg ganggu...klo ada yg mau siap di preloved yaa kontak aja, mo jual murce aja baru dipake 2x oles"
Nevita,"akhirnya kebagian, ini shade lipen yg beneran jadi PINK di bibir yg gelap"
Sugiyanti,"Terasa ringan dan surprisingly ini sebadai itu tahan seharian padahal udah makan ini itu, packingnya luar biasa sih, padahal cuma lipstick 1 tapi udah kaya beli seperangkat alat makeup dikasih box"
M***i,"paket sdh sampai aman,, agak lengket, meskipun lipstik sdh ngeset masih terasa lengket di bibir"
Nuraliah,terimakasih barangbnya sudah sampai suka belanjabdisini pebghantarann cepat barang ori sesuai pesanan
G***a,"barangnya bagus bgd gk kaleng² emamg makeover, next bakal order seri berbeda lg"
Risma,warna yg paling di suka 01 & 03. next bakalan koleksi warna lain lagi. love bgt MO Glazed
Wantydemir,Kedua kali nya beli makeover glazed karna bener2 bagus😍
N***l,warnanya bagus banget. bibir jd lembab
A***n,"harus dihapus make micellar water yang oil infused kalo gak, gak bakal kehapus. mantep dah"
A***l,"packaging super aman, lipstiknya the best, warnanya cakep 😘"
H***A,👍🏻👍🏻👍🏻👍🏻👍🏻🔥🔥🔥🔥🔥
Afifah,"warnanya bold bangettt. kissproof, dibawa makan berminyak agak hilang."
