Nama Akun,Ulasan
E***a,"beuh tjakepnya kelewatan!! awalnya ga expect banyak sih,cuma pengen nyoba aja.. this lip cream amazingly gorgeous!! favorit baru ngalahin lip crayon blake yg warna nya kece badai nah yg ini lebih kecee..ada hint orange pink nya gitu jd makin cakep di bibir texture nya fave!gmn yah bilangnya mm..moisturized powder gitu deh.. luv luv..rekor ulasan terpanjang selama jd member tokped.. emang sebagus ituuu si suave ini🥰"
Vika,"warnanya bagus, syukak... packingnya super duper mantabbb pdhl beli cmn 1, syngnya lamaaaaa banget 😁 antree kali ya..."
R***i,bagus banget
Triana,Desainnya mewah. Hasilnya matte. Nggak cepat pudar. Packaging aman 🙏. Proses pesanan cepat.
vira,Aplikator mudah dipakai. Desainnya mewah. Nggak lengket. Packaging aman 🙏. Packaging rapi.
Aiko,"mantab, barang bagus pelayanannya juga bagus terima kasih"
a***a,❤️
E***a,"Packing sangat aman. Kardusnya bagus. Pesanan sesuai. Sayang warnanya kurang cocok, terlalu pucat di aku."
Elsa,mantepp
Bunga,"Produknya original, kualitasnya bagus. mudah digunakan. Pengemasan dan pengiriman baik. Thank you for the gift"
Kiky,Packing terbaik
Indriati,bagus
m***a,"Warna lipstiknya cantik sekali 😍, lembut cuman memang transfer tp no prob, bisa di reapply lagi, Pengiriman cepat, dibungkus rapi sekali, bubble wrapnya tebel,"
Novita,Good
A***i,"Suka bgt sama warna nyaaa, cocok untuk diombre huhuuu"
V***a,"barangnya sesuai pesanan, pengemasannya juga oke.. pokoknya mah puas deh 👌👌"
Yoza,"Dr dulu suka produk lips makeover, nah yg hydrastay ini paling enak dpake buat bibirku yg tipe kering, lbh lmbab tp gak brasa pake lipstik.."
Josep,bagusss.. makasih.. sukses selalu..
M***a,Suka bgt warnanyaaaa
O***a,"saya pesan lipstik yang datang malah ini, sedih saya mba."
R***A,"keren bangetlah, besok beli lg harus"
Juanita,suka. creamy jd ga bikin bibir kering.
d***i,alhmdulilah sampee dengan selamat kaka
l***a,"Packingnya rapi bgt, bubblewrapnya tebel dan barang sampai dengan aman."
prihasdiani,Warna nya bagus tp ga tahan lama ya..kena aer lgsg ilang..nempel jg dimasker cm ga berat aja thanks makeover
T***i,"cukup puas, ini pembelian kedua"
Fauzan,Trims
sawitri,"pengiriman nya cpt banget cm 2 hr, pdhl luar kota, packing nya aman"
M***n,"Barang yang dikirim sesuai pesanan dengan jaminan kualitas ori, recommended."
Asih,pengiriman lama
lia,"warnanya coklat nude yang bener nude, tp tetep bagus dikulit sawo matang"
